Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
339483,Grace,Linn Ullmann,"Ullmann, Linn",Barbara Haveland,"=""1400078024""","=""9781400078028""",4.0,Knopf Doubleday Publishing Group,Paperback,144,2006,2002,2012/08/05,2012/08/05,,,read,,,,1,0
3271565,"Paradise Lost: Smyrna, 1922",Giles Milton,"Milton, Giles",,"=""0465011195""","=""9780465011193""",4.0,Basic Books,Hardcover,426,2008,2008,,2012/07/22,,,read,,,,1,0
28703,Cosmopolis,Don DeLillo,"DeLillo, Don",,"=""0330412744""","=""9780330412742""",2.0,Picador,Paperback,209,2003,2003,,2012/07/19,,,read,,,,1,0
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",4.0,Picador USA,Paperback,529,2002,2002,,2012/07/13,,,read,,,,1,0
1085376,Before You Sleep,Linn Ullmann,"Ullmann, Linn",,"=""067088698X""","=""9780670886982""",4.0,Viking Adult,Hardcover,291,1999,1998,,2012/07/10,,,read,,,,1,0
1899519,Kvinnen som kledte seg naken for sin elskede,Jan Wiese,"Wiese, Jan",,"=""8205188440""","=""9788205188440""",4.0,Gyldendal norsk forlag,Unknown Binding,170,1990,1990,,2012/06/20,,,read,,,,1,0
13259270,Free Will,Sam Harris,"Harris, Sam",,"=""1451683405""","=""9781451683400""",3.0,Free Press,Paperback,96,2012,2012,,2012/05/20,,,read,,,,1,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",4.0,Knopf,Hardcover,274,2010,2010,,2012/05/13,,,read,,,,1,0
28296,"W, or the Memory of Childhood",Georges Perec,"Perec, Georges",David Bellos,"=""1567921582""","=""9781567921588""",4.0,Verba Mundi,Paperback,176,2010,1975,,2012/05/09,,,read,,,,1,0
6932727,Imot kunsten,Tomas Espedal,"Espedal, Tomas",,"=""""","=""""",4.0,Gyldendal,Hardcover,176,2009,2009,,2012/05/08,,,read,,,,1,0
4312567,Baby Jane,Sofi Oksanen,"Oksanen, Sofi",,"=""9510309664""","=""9789510309667""",3.0,WSOY,Paperback,231,2009,2005,,2012/05/05,,,read,,,,1,0
12626550,Imot naturen,Tomas Espedal,"Espedal, Tomas",,"=""8205418276""","=""9788205418271""",5.0,Gyldendal,Hardcover,176,2011,2011,,2012/05/03,,,read,,,,1,0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",4.0,Vintage,Paperback,226,2004,2003,,2012/05/01,,,read,,,,1,0
6581449,"Freefall: America, Free Markets, and the Sinking of the World Economy",Joseph E. Stiglitz,"Stiglitz, Joseph E.",,"=""0393075966""","=""9780393075960""",0,W. W. Norton & Company,Hardcover,361,2010,2010,,2012/03/19,,,read,,,,1,0
9854,The End of Poverty: Economic Possibilities for Our Time,Jeffrey D. Sachs,"Sachs, Jeffrey D.",Bono,"=""0143036580""","=""9780143036586""",0,Penguin Books,Paperback,464,2006,2005,,2012/03/19,,,read,,,,1,0
6463967,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""0393072231""","=""9780393072235""",4.0,W. W. Norton & Company,Hardcover,264,2010,2010,,2012/01/29,,,read,,,,1,0
10746542,The Sense of an Ending,Julian Barnes,"Barnes, Julian",,"=""0224094157""","=""9780224094153""",0,Jonathan Cape,Hardcover,150,2011,2011,,2012/01/14,,,read,,,,1,0
9534444,Boomerang: Travels in the New Third World,Michael   Lewis,"Lewis, Michael",,"=""0393081818""","=""9780393081817""",0,W. W. Norton & Company,Hardcover,213,2011,2011,,2012/01/14,,,read,,,,1,0
